codmun;Idade;Estupros;Espancamentos;Afogamentos
110000;14;0;0;1
110000;17;0;0;0
110001;0;0;0;0
110001;1;0;0;1
110001;14;0;0;0
110001;18;1;0;0
110001;19;0;0;0
110001;21;0;0;0
110001;24;1;0;0
110001;26;0;0;2
110001;27;0;0;1
110001;28;0;0;1
110001;29;1;0;1
110001;30;1;0;0
110001;34;0;0;0
110001;35;1;0;0
110001;38;0;0;0
110001;40;0;0;0
110001;42;1;0;0
110001;44;0;0;0
110001;46;0;0;0
110001;47;1;0;0
110001;50;0;0;0
110001;51;0;0;0
110001;52;0;0;0
110001;53;0;0;0
110001;54;0;0;0
110001;55;0;0;0
110001;56;0;0;0
110001;57;0;0;0
110001;58;0;0;0
110001;59;0;0;0
110001;60;0;0;0
110001;61;0;0;0
110001;62;0;0;1
110001;63;1;0;0
110001;66;0;0;0
110001;68;0;0;0
110001;69;0;0;0
110001;70;0;0;0
110001;71;0;0;0
110001;72;0;0;0
110001;73;0;0;0
110001;76;0;0;0
110001;80;0;0;0
110001;81;0;0;0
110001;82;0;0;0
110001;83;0;0;0
110001;95;0;0;0
110002;0;0;0;1
110002;1;0;0;1
110002;2;0;0;0
110002;7;0;0;0
110002;8;0;0;1
110002;10;0;0;0
110002;11;0;0;0
110002;15;0;0;1
110002;16;1;0;0
110002;17;5;0;1
110002;18;1;1;0
110002;19;0;0;1
110002;20;0;1;0
110002;21;3;0;2
110002;22;3;0;0
110002;23;3;0;1
110002;24;0;0;2
110002;25;5;0;0
110002;26;0;0;1
110002;27;0;0;0
110002;28;0;0;1
110002;29;2;0;0
110002;30;2;0;1
110002;31;3;0;1
110002;32;1;0;1
110002;33;2;0;0
110002;34;0;0;0
110002;35;0;0;1
110002;36;0;0;0
110002;37;0;0;0
110002;38;1;0;1
110002;39;0;0;2
110002;40;1;0;0
110002;41;1;0;0
110002;42;0;0;1
110002;43;1;0;0
110002;44;3;0;0
110002;45;3;0;1
110002;46;1;0;0
110002;47;1;0;1
110002;48;2;0;0
110002;49;2;0;2
110002;50;0;0;1
110002;51;0;0;1
110002;52;0;0;0
110002;53;0;0;0
110002;54;0;0;0
110002;55;0;1;1
110002;56;1;0;0
110002;57;0;0;0
110002;58;0;0;0
110002;59;0;0;0
110002;60;1;0;1
110002;61;0;0;1
110002;62;0;0;0
110002;63;0;0;0
110002;64;1;0;0
110002;65;0;0;0
110002;66;0;0;1
110002;67;0;0;0
110002;68;0;0;0
110002;69;0;0;1
110002;70;0;0;0
110002;71;0;0;0
110002;72;0;0;0
110002;73;0;0;0
110002;74;0;0;0
110002;75;0;0;0
110002;76;0;0;0
110002;77;0;0;1
110002;78;0;0;0
110002;79;0;0;0
110002;80;0;0;0
110002;81;0;0;0
110002;82;0;0;0
110002;83;0;0;0
110002;84;0;1;0
110002;85;0;0;0
110002;86;0;0;0
110002;87;0;0;0
110002;88;0;0;0
110002;89;0;0;0
110002;90;0;0;0
110002;91;0;0;0
110002;92;0;0;0
110002;94;0;0;0
110002;95;0;0;0
110002;97;0;0;0
110003;1;0;0;0
110003;48;0;0;0
110003;50;0;0;0
110003;51;0;0;0
110003;64;0;0;0
110003;76;0;0;0
110003;82;0;0;0
110003;84;0;0;0
110003;85;0;0;0
110003;NA;0;0;0
110004;0;0;0;0
110004;1;0;0;0
110004;3;0;0;0
110004;7;0;0;1
110004;11;0;0;0
110004;15;1;0;1
110004;16;0;0;0
110004;17;0;0;1
110004;18;1;0;1
110004;19;1;0;1
110004;20;0;0;2
110004;21;0;0;0
110004;22;2;0;3
110004;23;1;0;0
110004;25;1;0;0
110004;27;2;0;1
110004;28;0;0;0
110004;29;1;0;1
110004;30;1;0;1
110004;31;0;0;0
110004;32;0;0;1
110004;33;0;1;0
110004;34;1;0;0
110004;35;1;0;2
110004;36;1;0;0
110004;37;0;0;0
110004;38;0;0;0
110004;39;0;0;0
110004;40;1;0;0
110004;41;1;0;0
110004;42;0;0;0
110004;43;1;0;1
110004;44;1;0;0
110004;45;1;0;1
110004;46;0;0;0
110004;47;1;0;2
110004;48;0;0;0
110004;49;0;0;0
110004;50;0;0;0
110004;51;0;0;2
110004;52;0;0;0
110004;53;0;0;0
110004;54;0;0;0
110004;55;0;0;0
110004;56;0;0;1
110004;57;0;0;0
110004;58;0;0;1
110004;60;0;0;0
110004;61;1;0;0
110004;62;0;0;0
110004;63;1;0;0
110004;64;0;0;0
110004;65;0;0;1
110004;66;0;0;0
110004;67;1;0;0
110004;68;0;0;0
110004;69;0;1;0
110004;70;0;0;1
110004;71;0;0;0
110004;72;1;0;0
110004;73;0;0;0
110004;74;0;0;0
110004;75;0;0;0
110004;76;0;0;0
110004;77;0;0;0
110004;78;0;0;0
110004;79;0;0;0
110004;80;0;0;0
110004;81;0;0;0
110004;82;0;0;0
110004;83;0;0;0
110004;84;0;0;0
110004;85;0;0;0
110004;86;0;0;0
110004;87;0;0;0
110004;88;0;0;0
110004;89;0;0;0
110004;90;0;0;0
110004;91;0;0;0
110004;92;0;0;0
110004;93;0;0;0
110004;94;0;0;0
110004;95;0;0;0
110004;96;0;0;0
110004;99;0;0;0
110004;106;0;0;0
110004;NA;1;0;0
110005;3;0;0;1
110005;9;0;0;0
110005;17;0;0;1
110005;20;0;1;0
110005;22;1;0;0
110005;24;0;0;0
110005;25;0;0;1
110005;26;2;0;0
110005;28;1;0;0
110005;29;1;0;0
110005;30;0;1;0
110005;34;0;1;0
110005;39;0;0;0
110005;41;1;0;0
110005;44;0;0;0
110005;46;0;0;1
110005;49;0;1;0
110005;55;0;0;0
110005;57;0;0;0
110005;60;0;0;0
110005;61;0;0;0
110005;63;0;0;0
110005;64;0;0;0
110005;65;0;0;0
110005;67;0;0;0
110005;68;0;0;0
110005;69;0;0;0
110005;71;1;0;0
110005;73;0;0;0
110005;75;0;0;0
110005;78;0;0;0
110005;79;0;0;0
110005;80;0;0;0
110005;81;0;0;0
110005;84;0;0;0
110005;86;0;0;0
110005;92;0;0;0
110005;93;0;0;0
110005;94;0;0;0
110005;99;0;0;0
110006;0;0;0;0
110006;13;0;0;0
110006;14;0;0;1
110006;15;0;0;0
110006;21;0;0;2
110006;27;0;0;1
110006;30;0;0;1
110006;32;0;0;0
110006;33;0;0;1
110006;41;0;0;0
110006;57;0;0;0
110006;58;0;0;0
110006;60;0;0;0
110006;62;0;0;0
110006;64;0;0;0
110006;66;0;0;0
110006;68;0;0;0
110006;70;0;0;0
110006;74;0;0;0
110006;75;0;0;0
110006;76;0;0;0
110006;77;0;0;0
110006;78;0;0;0
110006;79;0;0;0
110006;80;0;0;0
110006;81;0;0;0
110006;83;0;0;0
110006;84;0;0;0
110006;85;0;0;0
110006;86;0;0;0
110006;89;0;0;0
110006;90;0;0;0
110006;91;0;0;0
110006;92;0;0;0
110006;95;0;0;0
110006;98;0;0;0
110007;0;1;0;0
110007;7;0;0;0
110007;45;0;0;0
110007;49;0;0;0
110007;53;0;0;0
110007;55;0;0;0
110007;63;0;0;0
110007;85;0;0;0
110007;86;0;0;0
110007;88;0;0;0
110007;99;0;0;0
110007;102;0;0;0
110007;104;0;0;0
110008;0;0;0;0
110008;19;1;0;0
110008;20;1;0;0
110008;23;1;0;0
110008;24;0;2;0
110008;28;0;0;0
110008;32;1;0;0
110008;36;1;0;0
110008;37;0;0;0
110008;39;0;0;1
110008;42;0;1;0
110008;46;0;0;0
110008;49;0;1;0
110008;50;1;0;0
110008;51;0;0;0
110008;54;0;0;1
110008;58;0;0;0
110008;60;0;0;0
110008;74;0;0;0
110008;76;0;0;0
110008;77;0;0;0
110008;78;0;0;0
110008;80;0;0;0
110008;81;0;0;0
110008;84;0;0;0
110008;88;0;0;0
110009;0;0;0;0
110009;1;0;0;0
110009;24;0;0;0
110009;26;0;0;0
110009;31;1;0;0
110009;32;0;0;0
110009;34;0;0;1
110009;37;0;0;0
110009;39;0;0;0
110009;40;1;0;0
110009;45;0;0;0
110009;46;0;0;0
110009;47;0;1;0
110009;50;0;1;0
110009;51;0;0;0
110009;52;0;0;0
110009;53;0;0;0
110009;54;0;0;0
110009;56;0;0;0
110009;57;0;0;0
110009;58;0;0;0
110009;59;0;0;0
110009;61;0;0;0
110009;63;0;0;0
110009;66;0;0;0
110009;68;0;0;0
110009;69;0;0;0
110009;70;0;0;0
110009;71;0;0;0
110009;72;0;0;0
110009;73;0;0;0
110009;74;0;0;0
110009;75;0;0;0
110009;76;0;0;0
110009;77;0;0;0
110009;78;0;0;0
110009;80;0;0;0
110009;81;0;0;0
110009;83;0;0;0
110009;84;0;0;0
110009;85;0;0;0
110009;86;0;0;0
110009;87;0;0;0
110009;89;0;0;0
110009;90;0;0;0
110009;91;0;0;0
110009;93;0;0;0
110009;95;0;0;0
110009;98;0;0;0
110010;0;0;0;0
110010;1;1;0;0
110010;4;1;0;0
110010;5;0;0;0
110010;6;1;0;0
110010;9;0;0;0
110010;11;0;0;0
110010;12;0;0;1
110010;16;0;1;0
110010;18;0;0;1
110010;19;1;0;0
110010;20;2;0;0
110010;21;1;0;0
110010;22;0;0;0
110010;25;1;0;0
110010;28;1;0;0
110010;29;0;0;0
110010;30;0;0;0
110010;31;0;0;0
110010;32;0;0;2
110010;35;0;0;0
110010;36;0;0;1
110010;38;0;0;0
110010;39;0;0;0
110010;40;1;0;0
110010;43;0;0;0
110010;44;0;0;0
110010;45;0;0;0
110010;46;0;0;0
110010;47;1;0;0
110010;48;0;0;0
110010;49;0;0;0
110010;51;0;0;0
110010;53;0;0;0
110010;54;0;0;0
110010;55;0;0;1
110010;56;0;0;0
110010;57;0;0;0
110010;59;0;0;0
110010;60;0;0;0
110010;61;0;0;0
110010;62;0;0;0
110010;64;0;0;1
110010;65;0;0;0
110010;66;0;0;0
110010;67;0;0;0
110010;69;0;0;0
110010;70;0;0;0
110010;71;0;0;1
110010;72;0;0;0
110010;73;0;0;0
110010;74;0;0;0
110010;75;0;0;0
110010;76;0;0;0
110010;77;0;0;0
110010;78;0;0;0
110010;79;0;0;0
110010;80;0;0;0
110010;81;0;0;0
110010;82;1;0;0
110010;83;0;0;0
110010;84;0;0;0
110010;85;0;0;0
110010;86;0;0;0
110010;87;0;0;0
110010;88;0;0;0
110010;89;0;0;0
110010;91;0;0;0
110010;92;0;0;0
110010;93;0;0;0
110010;94;0;0;0
110010;96;0;0;0
110010;97;0;0;0
110010;98;0;0;0
110010;100;0;0;0
110011;0;0;0;0
110011;2;0;0;0
110011;5;0;0;1
110011;6;0;0;1
110011;11;0;0;0
110011;15;0;0;0
110011;17;1;0;0
110011;23;0;1;0
110011;25;0;0;1
110011;26;0;0;1
110011;27;0;0;0
110011;28;0;0;1
110011;29;0;0;1
110011;30;1;0;0
110011;31;0;0;1
110011;32;0;0;2
110011;33;0;0;0
110011;34;1;0;0
110011;35;0;0;0
110011;36;0;0;1
110011;38;1;0;0
110011;39;1;0;0
110011;40;0;0;2
110011;41;0;0;0
110011;42;1;0;0
110011;43;0;0;2
110011;46;0;0;1
110011;47;1;0;0
110011;49;1;0;0
110011;50;0;0;0
110011;51;0;0;0
110011;52;0;0;0
110011;54;0;0;1
110011;55;0;0;1
110011;57;0;0;1
110011;59;0;0;0
110011;60;0;0;0
110011;61;0;0;0
110011;62;0;0;0
110011;63;0;0;0
110011;64;0;0;0
110011;65;0;0;0
110011;66;0;0;0
110011;67;0;0;0
110011;68;0;0;0
110011;69;0;0;0
110011;70;0;0;1
110011;71;0;0;2
110011;73;0;0;0
110011;74;0;0;1
110011;75;0;0;0
110011;76;0;0;0
110011;77;0;0;0
110011;78;0;0;0
110011;79;0;0;0
110011;80;0;0;0
110011;81;0;0;0
110011;82;0;0;0
110011;83;0;0;0
110011;84;0;0;0
110011;85;0;0;0
110011;86;0;0;0
110011;87;0;0;0
110011;88;0;0;0
110011;90;0;0;0
110011;91;0;0;0
110011;92;0;0;0
110011;93;0;0;0
110011;94;0;0;0
110011;95;0;0;0
110011;96;0;0;0
110011;98;0;0;0
